Start,Finish,Steps (count)
30-Jun-2018 18:00,30-Jun-2018 19:00,51.0
30-Jun-2018 19:00,30-Jun-2018 20:00,62.0
30-Jun-2018 20:00,30-Jun-2018 21:00,0.0
30-Jun-2018 21:00,30-Jun-2018 22:00,0.0
30-Jun-2018 22:00,30-Jun-2018 23:00,0.0
30-Jun-2018 23:00,01-Jul-2018 00:00,0.0
01-Jul-2018 00:00,01-Jul-2018 01:00,0.0
01-Jul-2018 01:00,01-Jul-2018 02:00,0.0
01-Jul-2018 02:00,01-Jul-2018 03:00,0.0
01-Jul-2018 03:00,01-Jul-2018 04:00,0.0
01-Jul-2018 04:00,01-Jul-2018 05:00,0.0
01-Jul-2018 05:00,01-Jul-2018 06:00,0.0
01-Jul-2018 06:00,01-Jul-2018 07:00,0.0
01-Jul-2018 07:00,01-Jul-2018 08:00,0.0
01-Jul-2018 08:00,01-Jul-2018 09:00,0.0
01-Jul-2018 09:00,01-Jul-2018 10:00,0.0
01-Jul-2018 10:00,01-Jul-2018 11:00,0.0
01-Jul-2018 11:00,01-Jul-2018 12:00,28.0
01-Jul-2018 12:00,01-Jul-2018 13:00,144.0
01-Jul-2018 13:00,01-Jul-2018 14:00,985.788132613066
01-Jul-2018 14:00,01-Jul-2018 15:00,1948.82098477516
01-Jul-2018 15:00,01-Jul-2018 16:00,2500.06381335275
01-Jul-2018 16:00,01-Jul-2018 17:00,370.882768078674
01-Jul-2018 17:00,01-Jul-2018 18:00,108.444301180348
01-Jul-2018 18:00,01-Jul-2018 19:00,0.0
01-Jul-2018 19:00,01-Jul-2018 20:00,0.0
01-Jul-2018 20:00,01-Jul-2018 21:00,0.0
01-Jul-2018 21:00,01-Jul-2018 22:00,43.0
01-Jul-2018 22:00,01-Jul-2018 23:00,0.0
01-Jul-2018 23:00,02-Jul-2018 00:00,0.0
02-Jul-2018 00:00,02-Jul-2018 01:00,0.0
02-Jul-2018 01:00,02-Jul-2018 02:00,0.0
02-Jul-2018 02:00,02-Jul-2018 03:00,0.0
02-Jul-2018 03:00,02-Jul-2018 04:00,0.0
02-Jul-2018 04:00,02-Jul-2018 05:00,0.0
02-Jul-2018 05:00,02-Jul-2018 06:00,0.0
02-Jul-2018 06:00,02-Jul-2018 07:00,160.934757283576
02-Jul-2018 07:00,02-Jul-2018 08:00,59.065242716424
02-Jul-2018 08:00,02-Jul-2018 09:00,213.0
02-Jul-2018 09:00,02-Jul-2018 10:00,482.762224923071
02-Jul-2018 10:00,02-Jul-2018 11:00,480.237775076929
02-Jul-2018 11:00,02-Jul-2018 12:00,0.0
02-Jul-2018 12:00,02-Jul-2018 13:00,26.8956284998911
02-Jul-2018 13:00,02-Jul-2018 14:00,343.104371500109
02-Jul-2018 14:00,02-Jul-2018 15:00,0.0
02-Jul-2018 15:00,02-Jul-2018 16:00,0.0
